"API URL","API მისამართი"
"How long the payment session stays valid. Default: 15 minutes. Min: 2, Max: 1440 (24 hours).","რამდენ ხანს რჩება გადახდის სესია აქტიური. ნაგულისხმევი: 15 წუთი. მინ: 2, მაქს: 1440 (24 საათი)."
"IBAN","IBAN"
"Invalid capture response from BOG Payments API","არასწორი პასუხი BOG გადახდების თანხის ჩამოჭრის API-დან"
"Invalid cart total.","კალათის ჯამი არასწორია."
"Invalid refund response from BOG Payments API.","არასწორი პასუხი BOG გადახდების თანხის დაბრუნების API-დან."
"Invalid response from BOG Payments API.","არასწორი პასუხი BOG გადახდების API-დან."
"Invalid response from BOG Payments API: missing order ID or redirect URL.","არასწორი პასუხი BOG გადახდების API-დან: შეკვეთის ID ან გადამისამართების მისამართი აკლია."
"Invalid response from BOG Payments authentication endpoint.","არასწორი პასუხი BOG გადახდების ავთენტიფიკაციის ენდპოინტიდან."
"Invalid status response from BOG Payments API","არასწორი პასუხი BOG გადახდების სტატუსის API-დან"
"Light","ნათელი"
"Live","პროდაქშენი"
"Manual Capture (pre-authorization)","ხელით თანხის ჩამოჭრა (წინასწარი ავტორიზაცია)"
"New Order Status","ახალი შეკვეთის სტატუსი"
"No BOG order ID found.","BOG შეკვეთის ID ვერ მოიძებნა."
"No active cart found.","აქტიური კალათა ვერ მოიძებნა."
"No order found.","შეკვეთა ვერ მოიძებნა."
"OAuth URL","OAuth მისამართი"
"Order cancelled after manual status check. BOG status: %1","შეკვეთა გაუქმებულია სტატუსის ხელით შემოწმების შემდეგ. BOG სტატუსი: %1"
"Order updated to processing. Payment confirmed.","შეკვეთა განახლდა მუშავდების სტატუსზე. გადახდა დადასტურებულია."
"Payment %1. Order has been cancelled.","გადახდა %1. შეკვეთა გაუქმებულია."
"Payment Action","გადახდის მოქმედება"
"Payment Hash","გადახდის ჰეში"
"Payment Lifetime (minutes)","გადახდის ვადა (წუთებში)"
"Payment Method","გადახდის მეთოდი"
"Payment Page Theme","გადახდის გვერდის თემა"
"Payment approved by BOG (manual status check). Order ID: %1","გადახდა დამტკიცებულია BOG-ის მიერ (სტატუსის ხელით შემოწმება). შეკვეთის ID: %1"
"Payment captured by BOG. Amount: %1 %2","თანხა ჩამოჭრილია BOG-ის მიერ. თანხა: %1 %2"
"Payment confirmed by BOG (callback). Order ID: %1","გადახდა დადასტურებულია BOG-ის მიერ (უკუკავშირი). შეკვეთის ID: %1"
"Payment confirmed by BOG. Order ID: %1","გადახდა დადასტურებულია BOG-ის მიერ. შეკვეთის ID: %1"
"Payment from Applicable Countries","გადახდა შესაბამისი ქვეყნებიდან"
"Payment from Specific Countries","გადახდა კონკრეტული ქვეყნებიდან"
"Payment has been captured successfully.","თანხის ჩამოჭრა წარმატებით განხორციელდა."
"Payment has been voided and order cancelled.","გადახდა გაუქმებულია და შეკვეთა შეწყვეტილია."
"Payment in progress at BOG. Order ID: %1. Awaiting confirmation.","გადახდა მიმდინარეობს BOG-ში. შეკვეთის ID: %1. დადასტურების მოლოდინში."
"Payment information not found. Please try again.","გადახდის ინფორმაცია ვერ მოიძებნა. გთხოვთ სცადოთ ხელახლა."
"Payment not yet confirmed.","გადახდა ჯერ არ არის დადასტურებული."
"Payment session expired at BOG (reconciled by cron).","გადახდის სესია ამოიწურა BOG-ში (შეჯერებულია კრონის მიერ)."
"Payment validation failed.","გადახდის ვალიდაცია ვერ მოხერხდა."
"Payment voided by admin. Order cancelled.","გადახდა გაუქმებულია ადმინის მიერ. შეკვეთა შეწყვეტილია."
"Payment was not completed. Please try again.","გადახდა არ დასრულებულა. გთხოვთ სცადოთ ხელახლა."
"Percentage (%)","პროცენტი (%)"
"Place Order","შეკვეთის გაფორმება"
"Select which payment methods customers can use on the BOG payment page.","აირჩიეთ რომელი გადახდის მეთოდები შეუძლიათ მომხმარებლებს BOG-ის გადახდის გვერდზე."
"Sort Order","სორტირების რიგი"
"Split Receivers","გაყოფის მიმღებები"
"Split receiver ""%1"": Amount must be a positive number.","გაყოფის მიმღები ""%1"": თანხა უნდა იყოს დადებითი რიცხვი."
"Split receiver ""%1"": Percentage cannot exceed 100.","გაყოფის მიმღები ""%1"": პროცენტი არ შეიძლება აღემატებოდეს 100-ს."
"Split receiver in row ""%1"": IBAN is required.","გაყოფის მიმღები რიგში ""%1"": IBAN სავალდებულოა."
"Status check failed: %1","სტატუსის შემოწმება ვერ მოხერხდა: %1"
"Test","სატესტო"
"Theme for the BOG payment page.","BOG-ის გადახდის გვერდის თემა."
"This will cancel the payment authorization. The order will be cancelled. Continue?","ეს გააუქმებს გადახდის ავტორიზაციას. შეკვეთა გაუქმდება. გაგრძელება?"
"This will charge the held amount on the customer's card. Continue?","ეს ჩამოჭრის დაბლოკილ თანხას მომხმარებლის ბარათიდან. გაგრძელება?"
"Title","სათაური"
"Total split percentages cannot exceed 100%1. Current total: %2%1.","გაყოფის პროცენტების ჯამი არ შეიძლება აღემატებოდეს 100%1-ს. მიმდინარე ჯამი: %2%1."
"Unable to authenticate with BOG Payments API. Please try again later.","BOG გადახდების API-თან ავთენტიფიკაცია ვერ მოხერხდა. გთხოვთ სცადოთ მოგვიანებით."
"Unable to capture payment via BOG Payments API.","თანხის ჩამოჭრა BOG გადახდების API-ით ვერ მოხერხდა."
"Unable to check payment status via BOG Payments API.","გადახდის სტატუსის შემოწმება BOG გადახდების API-ით ვერ მოხერხდა."
"Unable to confirm payment.","გადახდის დადასტურება ვერ მოხერხდა."
"Unable to connect to BOG Payments API. Please try again later.","BOG გადახდების API-თან დაკავშირება ვერ მოხერხდა. გთხოვთ სცადოთ მოგვიანებით."
"Unable to process refund via BOG Payments API. Please try again later.","თანხის დაბრუნება BOG გადახდების API-ით ვერ მოხერხდა. გთხოვთ სცადოთ მოგვიანებით."
"Unable to verify payment status with BOG Payments API.","BOG გადახდების API-თან გადახდის სტატუსის ვერიფიკაცია ვერ მოხერხდა."
"Void Payment","გადახდის გაუქმება"
"Void failed: %1","გაუქმება ვერ მოხერხდა: %1"
"You will be securely redirected to Bank of Georgia to complete your payment.","თქვენ უსაფრთხოდ გადამისამართდებით საქართველოს ბანკში გადახდის დასასრულებლად."
"Your BOG Payments API client ID.","თქვენი BOG გადახდების API-ის კლიენტის ID."
"Your BOG Payments API client secret.","თქვენი BOG გადახდების API-ის კლიენტის საიდუმლო."
"Your cart is empty.","თქვენი კალათა ცარიელია."
"Your session has expired. Please try again.","თქვენი სესია ამოიწურა. გთხოვთ სცადოთ ხელახლა."
